Date,Open,High,Low,Close,Adj Close,Volume
1997-06-09,6.499000,6.563000,6.387000,6.413000,6.413000,0
1997-06-16,6.400000,6.447000,6.344000,6.357000,6.357000,0
1997-06-23,6.374000,6.485000,6.370000,6.446000,6.446000,0
1997-06-30,6.450000,6.528000,6.267000,6.288000,6.288000,0
1997-07-07,6.288000,6.292000,6.194000,6.220000,6.220000,0
1997-07-14,6.228000,6.309000,6.140000,6.232000,6.232000,0
1997-07-21,6.253000,6.261000,6.097000,6.164000,6.164000,0
1997-07-28,6.164000,6.180000,5.992000,6.180000,6.180000,0
1997-08-04,6.188000,6.399000,6.155000,6.364000,6.364000,0
1997-08-11,6.338000,6.421000,6.244000,6.248000,6.248000,0
1997-08-18,6.223000,6.382000,6.171000,6.364000,6.364000,0
1997-08-25,6.356000,6.425000,6.270000,6.330000,6.330000,0
1997-09-01,6.356000,6.378000,6.261000,6.343000,6.343000,0
1997-09-08,6.343000,6.391000,6.274000,6.278000,6.278000,0
1997-09-15,6.278000,6.291000,6.044000,6.077000,6.077000,0
1997-09-22,6.056000,6.120000,6.022000,6.073000,6.073000,0
1997-09-29,6.094000,6.124000,5.812000,5.996000,5.996000,0
1997-10-06,5.954000,6.209000,5.870000,6.136000,6.136000,0
1997-10-13,6.098000,6.175000,6.026000,6.145000,6.145000,0
1997-10-20,6.141000,6.158000,5.970000,6.000000,6.000000,0
1997-10-27,5.924000,5.979000,5.740000,5.819000,5.819000,0
1997-11-03,5.877000,5.957000,5.818000,5.885000,5.885000,0
1997-11-10,5.931000,5.931000,5.797000,5.847000,5.847000,0
1997-11-17,5.889000,5.906000,5.784000,5.805000,5.805000,0
1997-11-24,5.817000,5.868000,5.817000,5.851000,5.851000,0
1997-12-01,5.851000,5.977000,5.779000,5.892000,5.892000,0
1997-12-08,5.888000,5.956000,5.732000,5.732000,5.732000,0
1997-12-15,5.724000,5.816000,5.661000,5.711000,5.711000,0
1997-12-22,5.698000,5.756000,5.681000,5.735000,5.735000,0
1997-12-29,5.731000,5.820000,5.643000,5.655000,5.655000,0
1998-01-05,5.585000,5.585000,5.374000,5.379000,5.379000,0
1998-01-12,5.358000,5.517000,5.281000,5.513000,5.513000,0
1998-01-19,5.492000,5.687000,5.484000,5.683000,5.683000,0
1998-01-26,5.666000,5.717000,5.507000,5.512000,5.512000,0
1998-02-02,5.528000,5.661000,5.520000,5.602000,5.602000,0
1998-02-09,5.619000,5.661000,5.447000,5.475000,5.475000,0
1998-02-16,5.434000,5.545000,5.406000,5.524000,5.524000,0
1998-02-23,5.492000,5.703000,5.487000,5.616000,5.616000,0
1998-03-02,5.628000,5.830000,5.628000,5.712000,5.712000,0
1998-03-09,5.703000,5.712000,5.553000,5.570000,5.570000,0
1998-03-16,5.557000,5.611000,5.499000,5.561000,5.561000,0
1998-03-23,5.586000,5.687000,5.528000,5.670000,5.670000,0
